시간,홈,득점,실점,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장,원정,득점,실점 ,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장
2022-10-17 1:30,브렌트포드,0,1,16,7,43%,5,12,1,13,1,0,첼시,1,0,5,1,57%,5,14,4,8,1,0
2022-10-17 22:00,에버턴,0,1,10,2,38%,7,5,0,3,0,0,웨스트햄,1,0,7,3,62%,9,3,2,3,2,0
2022-10-18 0:30,뉴캐슬,2,3,6,2,36%,2,5,0,13,5,1,토트넘,3,2,8,4,64%,9,13,1,4,1,0
2022-10-19 4:00,아스널,2,2,10,6,54%,6,7,0,7,1,0,팰리스,2,2,9,6,46%,3,7,3,4,1,0
2022-10-23 4:00,아스널,3,1,17,8,58%,7,10,1,17,2,0,아스톤 빌라,1,3,6,4,42%,4,18,0,10,5,0
2022-10-23 20:30,첼시,7,0,18,13,62%,5,14,1,16,0,0,노리치,0,7,2,1,38%,0,17,0,14,3,1
2022-10-23 23:00,팰리스,1,1,8,2,78%,3,12,2,13,3,0,뉴캐슬,1,1,5,1,22%,7,15,3,9,4,0
2022-10-23 23:00,에버턴,2,5,9,4,49%,3,13,1,9,4,0,왓포드,5,2,15,8,51%,5,10,0,13,3,0
2022-10-23 23:00,리즈,1,1,13,4,63%,6,15,1,15,2,0,울버햄튼,1,1,6,4,37%,3,16,1,14,3,0
2022-10-23 23:00,사우샘스턴,2,2,13,5,61%,6,12,1,10,1,0,번리,2,2,8,5,39%,2,11,1,11,3,0
2022-10-24 1:30,브라이튼,1,4,9,6,48%,7,6,2,11,2,0,맨시티,4,1,15,13,52%,6,13,1,5,3,0
2022-10-24 22:00,브렌트포드,1,2,8,4,56%,9,8,3,13,1,0,레스터,2,1,8,5,44%,2,16,1,7,1,0
2022-10-24 22:00,웨스트햄,1,0,7,2,40%,2,4,1,11,2,0,토트넘,0,1,6,4,60%,4,12,0,4,1,0
2022-10-25 0:30,맨유,0,5,10,3,51%,6,3,6,11,6,1,리버풀,5,0,10,8,49%,3,17,0,9,0,0
2022-10-30 20:30,레스터 ,0,2,12,7,65%,7,11,2,10,2,0,아스널,2,0,6,5,35%,6,12,1,10,0,0
2022-10-30 23:00,번리,3,1,10,4,42%,4,14,3,8,1,0,브렌트포드,1,3,6,4,58%,2,11,4,10,1,0
2022-10-30 23:00,리버풀,2,2,7,3,51%,5,7,1,5,2,0,브라이튼,2,2,9,8,49%,3,6,3,4,2,0
2022-10-30 23:00,맨시티,0,2,10,3,70%,7,13,2,10,2,1,팰리스,2,0,6,3,30%,1,12,5,8,3,0
2022-10-30 23:00,뉴캐슬,0,3,3,2,26%,0,15,1,10,3,0,첼시,3,0,12,6,74%,2,11,4,11,2,0
2022-10-30 23:00,왓포드,0,1,6,2,48%,5,6,2,16,2,0,사우샘프턴,1,0,7,1,52%,8,18,0,6,2,0
2022-10-31 1:30,토트넘,0,3,5,0,58%,10,16,4,19,2,0,맨유,3,0,8,4,42%,1,23,1,16,3,0
2022-10-31 23:00,노리치,1,2,8,4,51%,5,24,0,13,1,0,리즈,2,1,7,5,49%,0,13,0,24,4,0
2022-11-01 1:30,아스톤 빌라,1,4,8,3,42%,3,13,2,7,2,1,웨스트햄,4,1,15,11,58%,6,9,0,13,2,0
2022-11-02 5:00,울버햄튼,2,1,7,4,62%,4,10,1,10,1,0,에버턴,1,2,5,2,38%,3,11,2,8,1,0
2022-11-06 5:00,사우샘스턴,1,0,7,3,59%,10,14,0,12,2,0,아스톤 빌라,0,1,11,3,41%,8,12,2,12,2,0
2022-11-06 21:30,맨유,0,2,3,1,29%,1,13,4,10,1,0,맨시티,2,0,10,4,71%,9,14,1,12,2,0
2022-11-07 0:00,브렌트포드,1,2,19,7,64%,6,15,2,12,2,0,노리치,2,1,9,5,36%,2,14,3,12,3,0
2022-11-07 0:00,첼시,1,1,14,4,68%,14,13,1,6,1,0,번리,1,1,4,2,32%,2,7,4,9,4,0
2022-11-07 0:00,팰리스,2,0,7,5,59%,4,14,1,14,2,0,울버햄튼,0,2,3,2,41%,6,15,1,13,1,0
2022-11-07 2:30,브라이튼,1,1,10,5,66%,2,11,1,16,3,1,뉴캐슬,1,1,3,2,34%,5,17,1,10,4,0
2022-11-07 23:00,아스널,1,0,14,6,64%,4,19,3,6,4,0,왓포드,0,1,7,1,36%,2,9,3,16,3,1
2022-11-07 23:00,에버턴,0,0,6,2,44%,4,19,1,13,3,1,토트넘,0,0,4,0,56%,2,14,2,17,4,0
2022-11-07 23:00,리즈,1,1,9,2,55%,10,7,1,8,1,0,레스터,1,1,6,1,45%,5,9,2,5,1,0
2022-11-08 1:30,웨스트햄,3,2,5,3,31%,3,6,2,11,1,0,리버풀,2,3,10,5,69%,2,13,0,6,1,0
2022-11-20 21:30,레스터 ,0,3,4,3,38%,3,12,3,15,3,0,첼시,3,0,12,7,62%,5,18,4,8,1,0
2022-11-21 0:00,아스톤 빌라,2,0,6,5,36%,5,13,1,7,3,0,브라이튼 ,0,2,2,2,64%,6,8,0,13,3,0
2022-11-21 0:00,번리,3,3,12,9,38%,3,15,1,14,2,0,팰리스,3,3,12,6,62%,6,15,0,15,3,0
2022-11-21 0:00,뉴캐슬,3,3,14,7,51%,8,13,0,13,2,0,브렌트포드,3,3,6,3,49%,2,13,2,11,2,0
2022-11-21 0:00,노리치,2,1,5,3,38%,5,9,0,8,3,0,사우샘프턴,1,2,11,5,62%,7,8,1,9,2,0
2022-11-21 0:00,왓포드,4,1,11,7,49%,8,9,1,7,2,0,맨유,1,4,8,3,51%,3,8,4,5,2,1
2022-11-21 0:00,울버햄튼,1,0,12,5,57%,7,9,0,6,1,0,웨스트햄,0,1,6,3,43%,3,6,0,9,1,0
2022-11-21 2:30,리버풀,4,0,13,10,66%,6,20,2,15,2,0,아스널,0,4,3,3,34%,1,17,8,12,0,0
2022-11-21 23:00,맨시티,3,0,14,7,76%,7,9,0,5,1,0,에버턴,0,3,1,1,24%,1,5,2,7,1,0
2022-11-22 1:30,토트넘,2,1,7,4,44%,4,13,4,11,1,0,리즈,1,2,11,7,56%,8,15,1,12,4,0
2022-11-27 21:30,아스널,2,0,14,7,66%,4,14,0,6,1,0,뉴캐슬,0,2,6,5,34%,4,6,3,11,3,0
2022-11-28 0:00,팰리스,1,2,7,3,63%,7,10,1,11,3,0,아스톤 빌라,2,1,7,3,37%,3,12,0,10,3,0
2022-11-28 0:00,리버풀,4,0,15,6,62%,5,15,2,7,0,0,사우샘프턴,0,4,4,3,38%,7,9,2,13,1,0
2022-11-28 0:00,노리치,0,0,6,3,45%,4,10,1,9,2,0,울버햄튼,0,0,4,2,55%,3,10,0,10,2,0
2022-11-28 2:30,브라이튼,0,0,15,5,59%,6,15,2,12,1,0,리즈,0,0,8,4,41%,1,14,1,14,3,0
